EMPRESA;ATIVO;COTACAO;QTD;VALOR
ALPARGATAS ON N1;ALPA3;15,38;625;9612,5
ALPARGATAS PN N1;ALPA4;15,63;187;2922,81
B3 ON NM;B3SA3;34,01;400;13604
BRASIL ON NM;BBAS3;49,34;50;2467
BRADESCO ON N1;BBDC3;30,88;12;370,56
BRF SA ON NM;BRFS3;30,41;700;21287
BR MALLS PAR ON NM;BRML3;12,51;149;1863,99
B2W DIGITAL ON NM;BTOW3;37,08;478;17724,24
COPEL ON N1;CPLE3;36;600;21600
CYRELA REALT ON NM;CYRE3;16,94;550;9317
ENGIE BRASIL ON NM;EGIE3;44,27;375;16601,25
EMBRAER ON NM;EMBR3;19,24;600;11544
GOL PN N2;GOLL4;23,01;300;6903
ITAUSA PN N1;ITSA4;12;242;2904
ITAUUNIBANCO PN N1;ITUB4;33,79;612;20679,48
JHSF PART ON NM;JHSF3;2,41;5600;13496
JSL ON NM;JSLG3;10,5;1000;10500
LOG-IN ON NM;LOGN3;8,29;1000;8290
LOJAS RENNER ON ED NM;LREN3;46,1;215;9911,5
MAGAZ LUIZA ON ED NM;MGLU3;178,98;47;8412,06
MILLS ON NM;MILS3;4,76;2600;12376
NATURA ON NM;NATU3;50,1;200;10020
PETROBRAS ON N2;PETR3;30,35;600;18210
PETROBRAS PN ED N2;PETR4;27,26;1300;35438
LOCALIZA ON NM;RENT3;35,7;293;10460,1
SANTOS BRP ON NM;STBP3;3,87;5600;21672
SUZANO S.A. ON ED NM;SUZB3;42,68;146;6231,28
