dtPregao;cdBDI;cdNegociacao;tpMercado;nmEmpresa;especificacao;pzTermo;moeda;vlAbertura;vlMax;vlMin;vlMedio;vlFecha;vlMelhorCompra;qtNegociacao;qtTitulo;volumeTot;preExe;indOpc;dtVencimento;ftCotacao;ptExe;cdISIN;noDistr
20190102;02;AALR3;010;ALLIAR;ON      NM;;R$;0000000001331;0000000001350;0000000001325;0000000001333;0000000001325;0000000001320;00856;000000000000264200;000000000352396200;0000000000000;0;99991231;0000001;0000000000000;BRAALRACNOR6;100
20190102;02;AAPL34;010;APPLE;DRN;;R$;0000000006071;0000000006071;0000000005989;0000000006047;0000000006041;0000000005991;00045;000000000000016800;000000000101596900;0000000000000;0;99991231;0000001;0000000000000;BRAAPLBDR004;127
20190102;02;ABBV34;010;ABBVIE;DRN;;R$;0000000034284;0000000034284;0000000034284;0000000034284;0000000034284;0000000000000;00001;000000000000000300;000000000010285200;0000000000000;0;99991231;0000001;0000000000000;BRABBVBDR001;111
20190102;02;ABCB4;010;ABC BRASIL;PN  EJS N2;;R$;0000000001647;0000000001720;0000000001635;0000000001678;0000000001712;0000000001705;03477;000000000000571700;000000000959830000;0000000000000;0;99991231;0000001;0000000000000;BRABCBACNPR4;131
20190102;12;ABCP11;010;FII ABC IMOB;CI  ER;;R$;0000000001730;0000000001754;0000000001730;0000000001748;0000000001748;0000000001748;00858;000000000000025845;000000000045182323;0000000000000;0;99991231;0000001;0000000000000;BRABCPCTF000;279
20190102;02;ABEV3;010;AMBEV S/A;ON  EJ;;R$;0000000001540;0000000001630;0000000001540;0000000001595;0000000001615;0000000001613;45941;000000000018692900;000000029820195400;0000000000000;0;99991231;0000001;0000000000000;BRABEVACNOR1;121
20190102;02;ADHM3;010;ADVANCED-DH;ON;;R$;0000000000149;0000000000150;0000000000149;0000000000149;0000000000150;0000000000143;00003;000000000000001800;000000000000269800;0000000000000;0;99991231;0000001;0000000000000;BRADHMACNOR9;101
20190102;12;AEFI11;010;FII AESAPAR;CI  ER;;R$;0000000015780;0000000015923;0000000015723;0000000015822;0000000015923;0000000015892;00067;000000000000000705;000000000011155070;0000000000000;0;99991231;0000001;0000000000000;BRAEFICTF002;185
20190102;02;AFLT3;010;AFLUENTE T;ON;;R$;0000000000548;0000000000548;0000000000540;0000000000543;0000000000540;0000000000460;00004;000000000000000500;000000000000271600;0000000000000;0;99991231;0000001;0000000000000;BRAFLTACNOR1;113
20190102;12;AGCX11;010;FII AG CAIXA;CI  ER;;R$;0000000119100;0000000119799;0000000118000;0000000118425;0000000118201;0000000118201;00052;000000000000000281;000000000033277582;0000000000000;0;99991231;0000001;0000000000000;BRAGCXCTF003;174
20190102;02;AGRO3;010;BRASILAGRO;ON      NM;;R$;0000000001580;0000000001600;0000000001541;0000000001586;0000000001595;0000000001590;00165;000000000000030000;000000000047598500;0000000000000;0;99991231;0000001;0000000000000;BRAGROACNOR7;108
20190102;12;ALMI11;010;FII TORRE AL;CI;;R$;0000000133621;0000000134800;0000000131200;0000000133176;0000000133000;0000000131501;00076;000000000000000226;000000000030097986;0000000000000;0;99991231;0000001;0000000000000;BRALMICTF003;250
20190102;02;ALPA3;010;ALPARGATAS;ON      N1;;R$;0000000001620;0000000001680;0000000001620;0000000001651;0000000001680;0000000001680;00021;000000000000005500;000000000009084800;0000000000000;0;99991231;0000001;0000000000000;BRALPAACNOR0;227
20190102;02;ALPA4;010;ALPARGATAS;PN      N1;;R$;0000000001703;0000000001755;0000000001699;0000000001729;0000000001750;0000000001748;01825;000000000000432100;000000000747451000;0000000000000;0;99991231;0000001;0000000000000;BRALPAACNPR7;227
20190102;02;ALSC3;010;ALIANSCE;ON      NM;;R$;0000000001918;0000000001965;0000000001897;0000000001937;0000000001965;0000000001965;02574;000000000000621800;000000001204746500;0000000000000;0;99991231;0000001;0000000000000;BRALSCACNOR0;111
20190102;02;ALUP11;010;ALUPAR;UNT     N2;;R$;0000000001849;0000000001891;0000000001826;0000000001853;0000000001867;0000000001867;03547;000000000000713500;000000001322813900;0000000000000;0;99991231;0000001;0000000000000;BRALUPCDAM15;109
20190102;02;ALUP3;010;ALUPAR;ON      N2;;R$;0000000000711;0000000000749;0000000000692;0000000000715;0000000000731;0000000000702;00031;000000000000003800;000000000002717700;0000000000000;0;99991231;0000001;0000000000000;BRALUPACNOR8;109
20190102;02;ALUP4;010;ALUPAR;PN      N2;;R$;0000000000551;0000000000580;0000000000549;0000000000577;0000000000580;0000000000553;00027;000000000000006600;000000000003813700;0000000000000;0;99991231;0000001;0000000000000;BRALUPACNPR5;109
20190102;12;ALZR11;010;FII ALIANZA;CI;;R$;0000000009900;0000000009955;0000000009723;0000000009892;0000000009780;0000000009780;00085;000000000000001437;000000000014215242;0000000000000;0;99991231;0000001;0000000000000;BRALZRCTF006;111
