dtPregao;cdBDI;cdNegociacao;tpMercado;nmEmpresa;especificacao;pzTermo;moeda;vlAbertura;vlMax;vlMin;vlMedio;vlFecha;vlMelhorCompra;qtNegociacao;qtTitulo;volumeTot;preExe;indOpc;dtVencimento;ftCotacao;ptExe;cdISIN;noDistr
20181203;02;AALR3;010;ALLIAR;ON      NM;;R$;0000000001310;0000000001323;0000000001295;0000000001314;0000000001319;0000000001307;01806;000000000000388400;000000000510455700;0000000000000;0;99991231;0000001;0000000000000;BRAALRACNOR6;100
20181203;02;AAPL34;010;APPLE;DRN;;R$;0000000007035;0000000007148;0000000006990;0000000007067;0000000007060;0000000006964;00011;000000000000054800;000000000387288700;0000000000000;0;99991231;0000001;0000000000000;BRAAPLBDR004;127
20181203;02;ABBV34;010;ABBVIE;DRN;;R$;0000000036008;0000000036008;0000000036008;0000000036008;0000000036008;0000000000000;00001;000000000000000600;000000000021604800;0000000000000;0;99991231;0000001;0000000000000;BRABBVBDR001;111
20181203;02;ABCB4;010;ABC BRASIL;PN      N2;;R$;0000000001658;0000000001703;0000000001656;0000000001685;0000000001698;0000000001693;04668;000000000001023000;000000001723861000;0000000000000;0;99991231;0000001;0000000000000;BRABCBACNPR4;130
20181203;12;ABCP11;010;FII ABC IMOB;CI  ER;;R$;0000000001670;0000000001700;0000000001670;0000000001686;0000000001695;0000000001693;00686;000000000000028993;000000000048885351;0000000000000;0;99991231;0000001;0000000000000;BRABCPCTF000;278
20181203;02;ABEV3;010;AMBEV S/A;ON;;R$;0000000001700;0000000001701;0000000001657;0000000001674;0000000001674;0000000001670;44961;000000000027568700;000000046166743300;0000000000000;0;99991231;0000001;0000000000000;BRABEVACNOR1;120
20181203;02;ACNB34;010;ACCENTURE;DRN;;R$;0000000063875;0000000063875;0000000063875;0000000063875;0000000063875;0000000000000;00001;000000000000000800;000000000051100000;0000000000000;0;99991231;0000001;0000000000000;BRACNBBDR006;107
20181203;02;ADHM3;010;ADVANCED-DH;ON;;R$;0000000000155;0000000000155;0000000000152;0000000000154;0000000000152;0000000000152;00012;000000000000003400;000000000000525500;0000000000000;0;99991231;0000001;0000000000000;BRADHMACNOR9;101
20181203;12;AEFI11;010;FII AESAPAR;CI  ER;;R$;0000000015879;0000000015881;0000000015490;0000000015707;0000000015737;0000000015650;00196;000000000000003194;000000000050171281;0000000000000;0;99991231;0000001;0000000000000;BRAEFICTF002;184
20181203;02;AFLT3;010;AFLUENTE T;ON;;R$;0000000000470;0000000000476;0000000000450;0000000000467;0000000000450;0000000000451;00003;000000000000001200;000000000000560600;0000000000000;0;99991231;0000001;0000000000000;BRAFLTACNOR1;113
